title,price,year,body_type,volume,fuel,gearbox,type
BMW X5,8 100 000 ₸,2007,кроссовер,4.8,бензин,автомат,Б/у
BMW 525,2 900 000 ₸,2001,седан,2.5,бензин,автомат,Б/у
BMW 520,2 000 000 ₸,1994,седан,1.8,бензин,механика,Б/у
BMW 525,1 000 000 ₸,1991,седан,2.5,бензин,механика,Б/у
BMW 730,5 800 000 ₸,2006,седан,3,бензин,автомат,Б/у
BMW 218,20 000 000 ₸,2023,седан,1.5,бензин,робот,Б/у
BMW iX,50 000 000 ₸,2023,кроссовер,эектричество,КПП автомат,с пробегом 13 000 км,Б/у
BMW 325,1 800 000 ₸,1991,седан,2.5,бензин,механика,Б/у
BMW 520,1 200 000 ₸,1993,седан,2,бензин,механика,Б/у
BMW 320,1 600 000 ₸,1992,седан,2,бензин,механика,Б/у
BMW X5,20 000 000 ₸,2013,кроссовер,4.4,бензин,автомат,Б/у
BMW 330,9 000 000 ₸,2015,седан,2,бензин,автомат,Б/у
BMW 520,1 800 000 ₸,1990,седан,2,бензин,механика,Б/у
BMW 525,1 100 000 ₸,1995,универсал,2.5,бензин,автомат,Б/у
BMW 528,7 200 000 ₸,2010,седан,3,бензин,автомат,Б/у
BMW X6,45 000 000 ₸,2021,кроссовер,3,бензин,автомат,Б/у
BMW 330,3 000 000 ₸,1995,купе,3,бензин,автомат,Б/у
BMW 520,10 500 000 ₸,2013,седан,2,бензин,автомат,Б/у
BMW 525,1 000 000 ₸,1992,седан,2.5,бензин,автомат,Б/у
BMW 528,2 250 000 ₸,1996,седан,2.8,бензин,механика,Б/у
BMW X5,12 879 750 ₸,2017,кроссовер,3,бензин,автомат,Б/у
BMW X5,6 000 000 ₸,2001,кроссовер,4.6,бензин,автомат,Б/у
BMW 520,1 200 000 ₸,На заказ,г.,Б/у седан,2 л,бензин,1990
BMW 320,3 000 000 ₸,1999,седан,2,бензин,механика,Б/у
BMW 525,1 000 000 ₸,1992,седан,2.5,бензин,автомат,Б/у
BMW X5,5 200 000 ₸,2002,кроссовер,3,бензин,автомат,Б/у
BMW X5,4 500 000 ₸,2001,кроссовер,3,бензин,автомат,Б/у
BMW 530,2 500 000 ₸,1999,седан,3,бензин,автомат,Б/у
BMW 528,10 500 000 ₸,2014,седан,2,бензин,автомат,Б/у
BMW X5,8 000 000 ₸,2007,кроссовер,3,бензин,автомат,Б/у
BMW 520,2 200 000 ₸,1992,седан,2,бензин,автомат,Б/у
BMW 530,24 000 000 ₸,2021,седан,2,бензин,автомат,Б/у
BMW 330,3 400 000 ₸,2001,седан,3,бензин,автомат,Б/у
BMW 320,900 000 ₸,1992,седан,2,бензин,механика,Б/у
BMW 730,1 350 000 ₸,1991,седан,3,бензин,механика,Б/у
BMW 528,2 100 000 ₸,1996,седан,2.8,бензин,автомат,Б/у
BMW M5,66 000 000 ₸,2023,седан,4.4,бензин,автомат,Б/у
BMW i5,27 500 000 ₸,2024,седан,эектричество,КПП автомат,с пробегом 15 700 км,Б/у
BMW 520,3 500 000 ₸,1995,седан,2,бензин,механика,Б/у
BMW 520,1 650 000 ₸,1992,седан,2,бензин,механика,Б/у
BMW X5,7 999 999 ₸,2008,кроссовер,4.8,бензин,автомат,Б/у
BMW X5,30 500 000 ₸,2019,кроссовер,3,бензин,автомат,Б/у
BMW 528,7 500 000 ₸,2009,седан,3,бензин,автомат,Б/у
BMW X5,18 800 000 ₸,2016,кроссовер,3,бензин,автомат,Б/у
BMW 730,3 000 000 ₸,1995,седан,3,бензин,автомат,Б/у
BMW X5,17 500 000 ₸,2017,кроссовер,3,бензин,автомат,Б/у
BMW 520,800 000 ₸,1990,седан,2,бензин,механика,Б/у
BMW 330,1 450 000 ₸,1994,седан,2,бензин,механика,Б/у
BMW 520,2 700 000 ₸,1997,седан,2,бензин,автомат,Б/у
BMW 525,1 750 000 ₸,1994,седан,2.5,бензин,механика,Б/у
BMW 520,900 000 ₸,1992,седан,2,бензин,механика,Б/у
BMW 520,2 700 000 ₸,1998,седан,2.5,бензин,механика,Б/у
BMW 525,1 600 000 ₸,1992,седан,2.5,бензин,механика,Б/у
BMW 728,3 500 000 ₸,1997,седан,2.8,бензин,автомат,Б/у
BMW 520,12 000 000 ₸,2014,седан,2,бензин,автомат,Б/у
BMW 528,3 200 000 ₸,1997,седан,2.8,бензин,автомат,Б/у
BMW 740,5 500 000 ₸,1999,седан,4.4,бензин,автомат,Б/у
BMW 325,1 150 000 ₸,1991,седан,2.5,бензин,механика,Б/у
BMW 730,1 500 000 ₸,1993,седан,3,бензин,автомат,Б/у
BMW X5,41 500 000 ₸,2021,кроссовер,3,бензин,автомат,Б/у
BMW X5,19 900 000 ₸,2016,кроссовер,3,бензин,автомат,Б/у
BMW 520,550 000 ₸,1993,седан,2,бензин,механика,Б/у
BMW 525,1 100 000 ₸,1991,седан,2.5,бензин,механика,Б/у
BMW iX3,24 000 000 ₸,2024,кроссовер,эектричество,КПП автомат,с пробегом 14 000 км,Б/у
BMW 730,21 800 000 ₸,2017,седан,2,бензин,автомат,Б/у
BMW X5 M,27 500 000 ₸,2015,кроссовер,4.4,бензин,робот,Б/у
BMW 540,22 000 000 ₸,2017,седан,3,бензин,автомат,Б/у
BMW X5,28 000 000 ₸,2018,кроссовер,3,бензин,автомат,Б/у
BMW 330,9 500 000 ₸,2007,кабриолет,3,бензин,автомат,Б/у
BMW 525,1 800 000 ₸,1994,седан,2.5,бензин,автомат,Б/у
BMW X5,7 500 000 ₸,2008,кроссовер,4.8,бензин,автомат,Б/у
BMW 528,3 000 000 ₸,1997,седан,2.8,бензин,автомат,Б/у
BMW 520,400 000 ₸,1992,седан,2,бензин,механика,Б/у
BMW 528,11 500 000 ₸,На заказ,г.,Б/у седан,2 л,бензин,2014
BMW 318,999 999 ₸,1995,седан,1.8,бензин,механика,Б/у
BMW 528,3 300 000 ₸,1997,седан,2.8,бензин,автомат,Б/у
BMW 525,1 000 000 ₸,1991,седан,2.5,бензин,механика,Б/у
BMW 530,16 500 000 ₸,2018,седан,2,бензин,автомат,Б/у
BMW 328,2 000 000 ₸,1991,седан,2.8,бензин,механика,Б/у
BMW 520,1 250 000 ₸,1995,седан,2,бензин,механика,Б/у
BMW X7,75 000 000 ₸,2024,кроссовер,3,бензин,автомат,Б/у
BMW 525,4 547 500 ₸,2006,седан,2.5,бензин,автомат,Б/у
BMW 520,18 000 000 ₸,2018,седан,2,бензин,автомат,Б/у
BMW 540,20 500 000 ₸,2019,седан,3,бензин,автомат,Б/у
BMW 530,16 500 000 ₸,2018,седан,2,бензин,автомат,Б/у
BMW 728,2 700 000 ₸,1996,седан,2.8,бензин,автомат,Б/у
BMW X7,36 000 000 ₸,2020,кроссовер,3,бензин,автомат,Б/у
BMW X5,68 000 000 ₸,2025,кроссовер,3,бензин,автомат,Б/у
BMW 728,700 000 ₸,1996,седан,2.8,бензин,автомат,Б/у
BMW X5,7 500 000 ₸,2008,кроссовер,4.8,бензин,автомат,Б/у
BMW 518,900 000 ₸,1994,седан,1.8,бензин,механика,Б/у
BMW 740,4 000 000 ₸,1994,седан,4.4,бензин,автомат,Б/у
BMW 520,1 900 000 ₸,1994,седан,2,бензин,механика,Б/у
BMW 318,2 200 000 ₸,1998,седан,1.9,бензин,механика,Б/у
BMW 760,10 000 000 ₸,2009,седан,6,бензин,автомат,Б/у
BMW X5,20 000 000 ₸,2016,кроссовер,3,бензин,автомат,Б/у
BMW X5,31 000 000 ₸,2018,кроссовер,3,бензин,автомат,Б/у
BMW 228,19 500 000 ₸,2020,седан,2,бензин,автомат,Б/у
BMW 530,29 800 000 ₸,2022,седан,2,бензин,автомат,Б/у
BMW 323,3 000 000 ₸,1999,седан,2.5,бензин,автомат,Б/у
BMW X6,17 500 000 ₸,2016,кроссовер,3,бензин,автомат,Б/у
BMW 325,3 200 000 ₸,1998,седан,2.5,бензин,автомат,Б/у
BMW 318,900 000 ₸,1994,седан,1.8,бензин,механика,Б/у
BMW 528,2 000 000 ₸,1984,седан,2.8,бензин,механика,Б/у
BMW 328,2 000 000 ₸,1996,седан,2.8,бензин,автомат,Б/у
BMW 530,5 000 000 ₸,2002,седан,3,бензин,автомат,Б/у
BMW 728,2 350 000 ₸,1995,седан,2.8,бензин,автомат,Б/у
BMW 530,3 144 999 ₸,2003,седан,3,бензин,автомат,Б/у
BMW 740,24 999 999 ₸,2019,седан,3,бензин,автомат,Б/у
BMW 318,1 700 000 ₸,1993,седан,1.8,бензин,механика,Б/у
BMW 328,5 300 000 ₸,2011,седан,3,бензин,автомат,Б/у
BMW 525,1 900 000 ₸,1993,седан,2.5,бензин,автомат,Б/у
BMW 528,7 500 000 ₸,2015,седан,2,бензин,автомат,Б/у
BMW 440,37 000 000 ₸,2024,лифтбек,3,бензин,автомат,Б/у
BMW 740,61 000 000 ₸,2023,седан,3,бензин,автомат,Б/у
BMW 328,3 600 000 ₸,1998,седан,2.8,бензин,автомат,Б/у
BMW 550,25 000 000 ₸,2018,седан,4.4,бензин,автомат,Б/у
BMW 525,2 500 000 ₸,1994,седан,2.5,бензин,автомат,Б/у
BMW 528,7 800 000 ₸,2010,седан,3,бензин,автомат,Б/у
BMW 320,1 500 000 ₸,1996,седан,2,бензин,механика,Б/у
BMW 530,6 000 000 ₸,2004,седан,3,бензин,автомат,Б/у
BMW 320,7 500 000 ₸,2015,седан,2,бензин,автомат,Б/у
BMW 525,800 000 ₸,1993,седан,2.5,бензин,механика,Б/у
BMW X7,55 000 000 ₸,2023,кроссовер,3,бензин,автомат,Б/у
BMW 525,3 000 000 ₸,1993,седан,2.5,бензин,механика,Б/у
BMW X7,50 000 000 ₸,2021,кроссовер,3,бензин,автомат,Б/у
BMW 730,600 000 ₸,1992,седан,3,бензин,механика,Б/у
BMW 535,5 500 000 ₸,2000,седан,3.5,бензин,автомат,Б/у
BMW X5,16 500 000 ₸,2014,кроссовер,3,бензин,автомат,Б/у
BMW 435,15 000 000 ₸,2015,купе,3,бензин,автомат,Б/у
BMW X7,38 000 000 ₸,2021,кроссовер,3,бензин,автомат,Б/у
BMW 728,4 200 000 ₸,1996,седан,2.8,бензин,автомат,Б/у
BMW X5,9 000 000 ₸,2008,кроссовер,3,дизель,автомат,Б/у
BMW 525,1 400 000 ₸,1991,седан,2.5,бензин,механика,Б/у
BMW 535,15 000 000 ₸,2016,седан,3,бензин,автомат,Б/у
BMW X6,17 500 000 ₸,2013,кроссовер,4.4,бензин,автомат,Б/у
BMW 325,1 100 000 ₸,1991,седан,2.5,бензин,механика,Б/у
BMW 218,22 000 000 ₸,2023,седан,1.5,бензин,робот,Б/у
BMW 318,950 000 ₸,1994,седан,1.8,бензин,механика,Б/у
BMW X5,10 000 000 ₸,2007,кроссовер,3,бензин,автомат,Б/у
BMW 535,7 800 000 ₸,2014,седан,3,бензин,автомат,Б/у
BMW 320,10 500 000 ₸,2013,седан,2,бензин,автомат,Б/у
BMW 523,4 000 000 ₸,1997,седан,2.5,бензин,автомат,Б/у
BMW X5,6 700 000 ₸,2006,кроссовер,4.4,бензин,автомат,Б/у
BMW 530,6 100 000 ₸,2003,седан,3,бензин,автомат,Б/у
BMW 728,2 800 000 ₸,1997,седан,2.8,бензин,автомат,Б/у
BMW 520,2 570 000 ₸,1992,седан,2,бензин,механика,Б/у
BMW 525,1 400 000 ₸,1991,седан,2.5,бензин,механика,Б/у
BMW 530,6 500 000 ₸,2007,седан,3,бензин,автомат,Б/у
BMW 535,9 100 000 ₸,2013,седан,3,бензин,автомат,Б/у
BMW X3,5 650 000 ₸,2006,кроссовер,2.5,бензин,автомат,Б/у
BMW X7,55 000 000 ₸,2020,кроссовер,4.4,бензин,автомат,Б/у
BMW X5,39 000 000 ₸,2022,кроссовер,3,бензин,автомат,Б/у
BMW M5,66 000 000 ₸,2023,седан,4.4,бензин,автомат,Б/у
BMW X5,4 750 000 ₸,2001,кроссовер,3,бензин,автомат,Б/у
BMW 535,11 800 000 ₸,2013,седан,3,бензин,автомат,Б/у
BMW 320,9 657 142 ₸,2015,седан,2,бензин,автомат,Б/у
BMW 525,2 500 000 ₸,1993,седан,2.5,бензин,автомат,Б/у
BMW 850,75 000 000 ₸,1993,купе,5,бензин,механика,Б/у
BMW 525,2 900 000 ₸,1996,седан,2.5,бензин,автомат,Б/у
BMW 730,850 000 ₸,1991,седан,3,бензин,автомат,Б/у
BMW 535,8 650 000 ₸,2016,седан,3,бензин,автомат,Б/у
BMW X5,6 500 000 ₸,2007,кроссовер,4.8,бензин,автомат,Б/у
BMW X6,9 300 000 ₸,2009,кроссовер,3,бензин,автомат,Б/у
BMW 525,1 650 000 ₸,1993,седан,2.5,дизель,механика,Б/у
BMW 525,1 500 000 ₸,1992,седан,2.5,бензин,механика,Б/у
BMW X5,14 500 000 ₸,2014,кроссовер,3,бензин,автомат,Б/у
BMW 750,29 900 000 ₸,2017,седан,4.4,бензин,автомат,Б/у
BMW X5,7 500 000 ₸,2003,кроссовер,4.4,бензин,автомат,Б/у
BMW i3,18 800 000 ₸,2023,седан,эектричество,КПП автомат,с пробегом 28 755 км,Б/у
BMW X5,10 400 000 ₸,2011,кроссовер,3,бензин,автомат,Б/у
BMW 328,2 350 000 ₸,1996,седан,2.8,бензин,автомат,Б/у
BMW 520,1 200 000 ₸,На заказ,г.,Б/у седан,2 л,бензин,1989
BMW X5,67 000 000 ₸,2024,кроссовер,3,гибрид,автомат,Б/у
BMW 735,3 000 000 ₸,2002,седан,3.6,бензин,автомат,Б/у
BMW 525,1 800 000 ₸,1995,седан,2.5,бензин,автомат,Б/у
BMW 530,6 000 000 ₸,2006,седан,3,бензин,автомат,Б/у
BMW 730,2 000 000 ₸,1995,седан,3,бензин,механика,Б/у
BMW 520,800 000 ₸,1991,седан,2,бензин,механика,Б/у
BMW 320,4 000 000 ₸,2001,седан,2.2,бензин,автомат,Б/у
BMW X5,8 300 000 ₸,2007,кроссовер,3,бензин,автомат,Б/у
BMW 520,2 200 000 ₸,1991,седан,2,бензин,механика,Б/у
BMW 540,21 000 000 ₸,2018,седан,3,бензин,автомат,Б/у
BMW 325,3 800 000 ₸,2004,седан,2.5,бензин,автомат,Б/у
BMW 525,850 000 ₸,1991,седан,2.5,бензин,механика,Б/у
BMW 430,14 500 000 ₸,2017,лифтбек,2,бензин,автомат,Б/у
BMW 323,2 300 000 ₸,1996,седан,2.5,бензин,механика,Б/у
BMW 330,2 700 000 ₸,2002,седан,3,бензин,механика,Б/у
BMW X6,10 500 000 ₸,2010,кроссовер,3,бензин,автомат,Б/у
BMW 325,3 500 000 ₸,2002,седан,2.5,бензин,механика,Б/у
BMW 325,6 000 000 ₸,2006,седан,2.5,бензин,автомат,Б/у
BMW X5,15 500 000 ₸,2016,кроссовер,3,бензин,автомат,Б/у
BMW X6,19 500 000 ₸,2018,кроссовер,3,бензин,автомат,Б/у
BMW X6,19 500 000 ₸,2018,кроссовер,3,бензин,автомат,Б/у
BMW 528,10 500 000 ₸,2015,седан,2,бензин,автомат,Б/у
BMW X5,38 000 000 ₸,2024,кроссовер,3,бензин,автомат,Б/у
BMW 750,5 550 000 ₸,2006,седан,4.8,бензин,автомат,Б/у
BMW 518,1 600 000 ₸,1991,седан,1.8,бензин,механика,Б/у
BMW 540,5 500 000 ₸,1992,универсал,4.6,бензин,механика,Б/у
BMW X6,9 000 000 ₸,2010,кроссовер,3,дизель,автомат,Б/у
BMW 328,1 700 000 ₸,1993,седан,2.8,бензин,механика,Б/у
BMW 530,16 900 000 ₸,2017,седан,2,бензин,автомат,Б/у
BMW 528,3 000 000 ₸,1997,седан,2.8,бензин,автомат,Б/у
BMW 525,1 400 000 ₸,1997,седан,2.5,бензин,механика,Б/у
BMW 525,1 800 000 ₸,1994,седан,2.8,бензин,механика,Б/у
BMW X5,17 200 000 ₸,2018,кроссовер,3,бензин,автомат,Б/у
BMW 328,2 700 000 ₸,1996,седан,2.8,бензин,автомат,Б/у
BMW X5,17 000 000 ₸,2014,кроссовер,3,бензин,автомат,Б/у
BMW 528,11 700 000 ₸,2015,седан,2,бензин,автомат,Б/у
BMW X5,9 200 000 ₸,2015,кроссовер,3,бензин,автомат,Б/у
BMW 520,1 300 000 ₸,1993,седан,2,бензин,механика,Б/у
BMW 528,3 200 000 ₸,1996,седан,2.8,бензин,механика,Б/у
BMW 530,18 000 000 ₸,2018,седан,2,бензин,автомат,Б/у
BMW X5,7 000 000 ₸,2012,кроссовер,3,бензин,автомат,Б/у
BMW 530,2 500 000 ₸,1993,седан,3,газ-бензин,автомат,Б/у
